PlayResult,ExitSpeed,Angle,Direction,BatterTeam,Batter,KorBB,Hit
Out,94.31155,42.71012,21.887557,CAL_MUS,"Hoiland, Cameron",Undefined,0
Out,78.04825,-19.453936,39.866325,CAL_MUS,"Downing, Jake",Undefined,0
Out,88.70069,40.701574,-26.361585,CAL_MUS,"Vachini, Dante",Undefined,0
Out,81.50594,-36.966916,-7.837967,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,93.18294,27.109691,28.017059,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,89.27921,41.822772,-15.258048,CAL_MUS,"Collins, Jack",Undefined,0
Out,74.37804,65.598682,-32.05594,CAL_MUS,"Murray, Casey",Undefined,0
Single,100.12013,7.224306,19.566078,CAL_MUS,"Kordic, Dylan",Undefined,1
FieldersChoice,86.80686,-26.202546,13.291607,CAL_MUS,"Castellon, Nate",Undefined,0
Single,76.06402,-20.178162,-0.250147,CAL_MUS,"Hoiland, Cameron",Undefined,1
Single,103.70853,11.090225,5.02361,CAL_MUS,"Downing, Jake",Undefined,1
Single,97.14998,5.470818,10.732677,CAL_MUS,"Vachini, Dante",Undefined,1
Single,101.295,12.04707,-4.6161,CAL_MUS,"Fenn, Ryan",Undefined,1
Undefined,,,,CAL_MUS,"Garza, Alejandro",Strikeout,0
Single,102.08969,12.442136,-18.873066,CAL_MUS,"Collins, Jack",Undefined,1
Single,75.47092,-38.94483,-22.35008,CAL_MUS,"Murray, Casey",Undefined,1
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Single,96.04485,12.686936,-28.442963,CAL_MUS,"Castellon, Nate",Undefined,1
Undefined,,,,CAL_MUS,"Hoiland, Cameron",Strikeout,0
Out,91.57858,8.468556,9.794315,CAL_MUS,"Downing, Jake",Undefined,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Out,72.91246,-65.02875,26.551874,CAL_MUS,"Fenn, Ryan",Undefined,0
Single,91.37283,-12.160446,-6.93996,CAL_MUS,"Garza, Alejandro",Undefined,1
Out,82.32539,78.276553,3.224754,CAL_MUS,"Collins, Jack",Undefined,0
Out,99.08622,-3.40777,39.400694,CAL_MUS,"Murray, Casey",Undefined,0
Out,84.99553,62.750729,-33.61322,CAL_MUS,"Kordic, Dylan",Undefined,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Out,88.08909,26.32872,13.765002,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,79.79459,33.068297,21.541622,CAL_MUS,"Garza, Alejandro",Undefined,0
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Out,76.32185,-34.426486,7.311658,CAL_MUS,"Hoiland, Cameron",Undefined,0
Out,83.16268,-13.624539,-4.062336,CAL_MUS,"Thomas, Braxton",Undefined,0
Out,95.082,12.044027,-16.010065,CAL_MUS,"Castellon, Nate",Undefined,0
Out,87.29027,72.680033,0.845042,CAL_MUS,"Daudet, Zach",Undefined,0
Out,93.13153,25.259987,-13.30563,CAL_MUS,"Fenn, Ryan",Undefined,0
FieldersChoice,98.82217,14.790063,12.849196,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,86.00939,71.557907,-8.761638,CAL_MUS,"Collins, Jack",Undefined,0
Single,90.32774,15.276292,-6.058572,CAL_MUS,"Murray, Casey",Undefined,1
Single,100.96099,11.575791,14.621042,CAL_MUS,"Hoiland, Cameron",Undefined,1
Out,64.6261,77.410714,0.144343,CAL_MUS,"Castellon, Nate",Undefined,0
Out,73.78265,79.692789,-40.348995,CAL_MUS,"Thomas, Braxton",Undefined,0
Out,73.31546,79.64113,73.08517,CAL_MUS,"Daudet, Zach",Undefined,0
Out,60.50294,16.888456,41.962234,CAL_MUS,"Vachini, Dante",Undefined,0
Single,94.69584,9.087291,-10.456724,CAL_MUS,"Fenn, Ryan",Undefined,1
Error,90.00975,-13.992593,-11.165822,CAL_MUS,"Garza, Alejandro",Undefined,0
FieldersChoice,66.9481,-3.970668,-40.341753,CAL_MUS,"Collins, Jack",Undefined,0
Out,70.18383,-38.204058,63.713086,CAL_MUS,"Thomas, Braxton",Undefined,0
Single,24.71678,-28.514437,-38.000085,CAL_MUS,"Vachini, Dante",Undefined,1
Single,89.23975,-11.466052,-26.809632,CAL_MUS,"Garza, Alejandro",Undefined,1
Single,33.31979,-23.48894,-40.863817,CAL_MUS,"Collins, Jack",Undefined,1
Out,85.86011,-16.640289,-11.049598,CAL_MUS,"Murray, Casey",Undefined,0
Out,83.20922,-0.012696,-14.070309,CAL_MUS,"Hoiland, Cameron",Undefined,0
Out,62.56754,33.525623,-14.411407,CAL_MUS,"Thomas, Braxton",Undefined,0
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Out,86.79133,33.430757,-12.014264,CAL_MUS,"Daudet, Zach",Undefined,0
Out,96.03289,30.40497,3.216842,CAL_MUS,"Vachini, Dante",Undefined,0
Single,99.605,11.087203,-17.109393,CAL_MUS,"Daudet, Zach",Undefined,1
Double,106.4652,9.055264,-10.784998,CAL_MUS,"Fenn, Ryan",Undefined,1
Single,105.92832,6.427129,-27.752429,CAL_MUS,"Garza, Alejandro",Undefined,1
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Out,98.53502,28.109283,25.489591,CAL_MUS,"Murray, Casey",Undefined,0
Error,69.38365,-54.829861,46.766948,CAL_MUS,"Hoiland, Cameron",Undefined,0
Single,92.54263,15.503767,-27.241942,CAL_MUS,"Castellon, Nate",Undefined,1
Single,103.60055,-7.470409,-21.93935,CAL_MUS,"Thomas, Braxton",Undefined,1
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Out,89.56727,40.214524,9.14263,CAL_MUS,"Daudet, Zach",Undefined,0
Single,97.07779,8.52297,-22.039401,CAL_MUS,"Fenn, Ryan",Undefined,1
Undefined,,,,CAL_MUS,"Garza, Alejandro",Strikeout,0
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Out,97.49861,-9.771354,40.860794,CAL_MUS,"Thomas, Braxton",Undefined,0
Single,71.79569,24.890945,6.292225,CAL_MUS,"Vachini, Dante",Undefined,1
Out,87.28548,59.818142,-0.436491,CAL_MUS,"Collins, Jack",Undefined,0
Single,92.07565,-13.727066,-6.082889,CAL_MUS,"Murray, Casey",Undefined,1
Out,86.80714,60.747155,-5.605801,CAL_MUS,"Hoiland, Cameron",Undefined,0
Out,82.4967,49.416667,5.204825,CAL_MUS,"Castellon, Nate",Undefined,0
Double,98.72842,22.718414,-17.85211,CAL_MUS,"Thomas, Braxton",Undefined,1
Out,95.01066,7.524135,16.245692,CAL_MUS,"Vachini, Dante",Undefined,0
Undefined,,,,CAL_MUS,"Daudet, Zach",Strikeout,0
Out,100.51071,-1.494157,9.760762,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,,,,CAL_MUS,"Garza, Alejandro",Undefined,0
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Single,93.44224,2.398361,0.649902,CAL_MUS,"Murray, Casey",Undefined,1
Single,102.00302,-4.845585,3.539919,CAL_MUS,"Hoiland, Cameron",Undefined,1
Double,101.56154,23.046721,29.691489,CAL_MUS,"Thomas, Braxton",Undefined,1
Out,71.20932,-6.755558,42.713705,CAL_MUS,"Vachini, Dante",Undefined,0
Undefined,,,,CAL_MUS,"Daudet, Zach",Strikeout,0
Single,77.74317,18.960802,4.510638,CAL_MUS,"Fenn, Ryan",Undefined,1
Single,99.47723,1.008954,11.62303,CAL_MUS,"Garza, Alejandro",Undefined,1
Out,83.27221,83.001626,62.041161,CAL_MUS,"Collins, Jack",Undefined,0
Out,103.428,-7.290482,0.169827,CAL_MUS,"Murray, Casey",Undefined,0
Out,73.25801,-68.198641,14.17174,CAL_MUS,"Vachini, Dante",Undefined,0
Undefined,,,,CAL_MUS,"Fenn, Ryan",Strikeout,0
Error,92.83156,-5.746515,4.243427,CAL_MUS,"Garza, Alejandro",Undefined,0
Single,93.49343,16.59432,-27.941797,CAL_MUS,"Collins, Jack",Undefined,1
Single,86.24666,13.333402,-5.61061,CAL_MUS,"Murray, Casey",Undefined,1
Out,82.40151,58.907313,-27.957705,CAL_MUS,"Kordic, Dylan",Undefined,0
Out,52.31975,7.105284,7.788488,CAL_MUS,"Castellon, Nate",Undefined,0
Single,87.80495,17.935396,26.674123,CAL_MUS,"Hoiland, Cameron",Undefined,1
Out,97.18504,29.528996,1.599942,CAL_MUS,"Downing, Jake",Undefined,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Undefined,,,,CAL_MUS,"Fenn, Ryan",Strikeout,0
Out,100.63476,-4.324024,11.981507,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,97.06863,-13.3723,-17.781835,CAL_MUS,"Murray, Casey",Undefined,0
Out,107.87958,21.225266,24.06487,CAL_MUS,"Kordic, Dylan",Undefined,0
Out,88.43198,-9.419599,-18.098413,CAL_MUS,"Castellon, Nate",Undefined,0
Undefined,,,,CAL_MUS,"Downing, Jake",Strikeout,0
Double,107.40148,-3.625898,31.847305,CAL_MUS,"Vachini, Dante",Undefined,1
Out,75.92802,57.04436,1.912094,CAL_MUS,"Fenn, Ryan",Undefined,0
HomeRun,96.95801,33.046285,-22.531183,CAL_MUS,"Garza, Alejandro",Undefined,1
Single,87.38499,2.750162,-24.076478,CAL_MUS,"Collins, Jack",Undefined,1
Single,79.4559,23.287959,-7.470767,CAL_MUS,"Murray, Casey",Undefined,1
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Out,91.45196,3.356496,-33.981833,CAL_MUS,"Castellon, Nate",Undefined,0
Single,95.36668,-19.720557,16.927644,CAL_MUS,"Hoiland, Cameron",Undefined,1
Undefined,,,,CAL_MUS,"Downing, Jake",Strikeout,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Out,74.60127,-53.044098,-41.049847,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,68.87516,-35.03528,-50.535723,CAL_MUS,"Garza, Alejandro",Undefined,0
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Out,88.87885,37.426631,11.029569,CAL_MUS,"Kordic, Dylan",Undefined,0
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Out,103.74883,-11.75139,4.893137,CAL_MUS,"Hoiland, Cameron",Undefined,0
Undefined,,,,CAL_MUS,"Downing, Jake",Strikeout,0
Single,98.70031,-3.6698,-6.360448,CAL_MUS,"Daudet, Zach",Undefined,1
Out,87.26355,28.68303,4.354803,CAL_MUS,"Fenn, Ryan",Undefined,0
Single,97.10189,0.67207,-10.194691,CAL_MUS,"Garza, Alejandro",Undefined,1
Out,,,,CAL_MUS,"Collins, Jack",Undefined,0
Out,85.04469,52.189549,22.82364,CAL_MUS,"Daudet, Zach",Undefined,0
Single,72.79805,25.517468,12.236702,CAL_MUS,"Garza, Alejandro",Undefined,1
HomeRun,100.71377,39.583152,-30.09253,CAL_MUS,"Collins, Jack",Undefined,1
Single,95.46743,11.181612,3.118953,CAL_MUS,"Murray, Casey",Undefined,1
Out,81.3157,44.895194,-22.597491,CAL_MUS,"Thomas, Braxton",Undefined,0
Out,82.4402,32.339958,-4.842543,CAL_MUS,"Castellon, Nate",Undefined,0
Undefined,,,,CAL_MUS,"Hoiland, Cameron",Strikeout,0
Out,92.06705,-15.816516,18.948013,CAL_MUS,"Vachini, Dante",Undefined,0
Out,90.59914,40.997422,10.825499,CAL_MUS,"Daudet, Zach",Undefined,0
Out,82.29712,37.830682,1.912898,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,91.7893,-7.865699,-9.932541,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,96.11636,29.913246,22.655755,CAL_MUS,"Collins, Jack",Undefined,0
Error,81.64833,-34.713056,-17.679073,CAL_MUS,"Murray, Casey",Undefined,0
Out,83.6915,-37.730089,-6.537224,CAL_MUS,"Thomas, Braxton",Undefined,0
Double,91.19447,33.507618,-35.554083,CAL_MUS,"Castellon, Nate",Undefined,1
Single,102.52466,8.855108,7.263422,CAL_MUS,"Hoiland, Cameron",Undefined,1
Out,91.61705,33.475011,5.962249,CAL_MUS,"Vachini, Dante",Undefined,0
Out,95.43067,38.337843,-20.732738,CAL_MUS,"Daudet, Zach",Undefined,0
Out,67.85096,82.017106,2.776622,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,99.28133,-14.373687,17.179507,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,92.71771,36.941796,-9.75828,CAL_MUS,"Collins, Jack",Undefined,0
Single,95.74617,5.915256,-24.971778,CAL_MUS,"Murray, Casey",Undefined,1
Out,91.16261,-17.090922,23.091064,CAL_MUS,"Thomas, Braxton",Undefined,0
Single,78.80883,19.027087,-17.045392,CAL_MUS,"Castellon, Nate",Undefined,1
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Undefined,,,,CAL_MUS,"Daudet, Zach",Strikeout,0
Out,98.29715,-18.15608,16.782476,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,89.63259,-8.008059,30.431314,CAL_MUS,"Garza, Alejandro",Undefined,0
Double,84.29731,23.588607,-31.738748,CAL_MUS,"Collins, Jack",Undefined,1
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Undefined,,,,CAL_MUS,"Thomas, Braxton",Strikeout,0
Out,68.41074,55.073417,26.051817,CAL_MUS,"Castellon, Nate",Undefined,0
Out,101.6665,22.832267,1.430508,CAL_MUS,"Hoiland, Cameron",Undefined,0
Single,98.21375,12.986675,-13.469788,CAL_MUS,"Daudet, Zach",Undefined,1
FieldersChoice,83.52461,-14.208208,-19.601319,CAL_MUS,"Fenn, Ryan",Undefined,0
Undefined,,,,CAL_MUS,"Garza, Alejandro",Strikeout,0
Out,77.96366,66.452659,11.144086,CAL_MUS,"Collins, Jack",Undefined,0
Single,95.25088,14.216243,0.075539,CAL_MUS,"Murray, Casey",Undefined,1
Single,103.22848,4.208786,1.354675,CAL_MUS,"Hoiland, Cameron",Undefined,1
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Out,61.50578,-41.804288,64.760425,CAL_MUS,"Vachini, Dante",Undefined,0
Out,102.02915,3.932579,-15.439645,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,102.28899,0.652615,-39.932377,CAL_MUS,"Murray, Casey",Undefined,0
Single,101.98174,13.531008,13.389503,CAL_MUS,"Hoiland, Cameron",Undefined,1
Out,90.0304,-6.469948,-2.334994,CAL_MUS,"Kordic, Dylan",Undefined,0
Out,94.389,47.489952,1.044937,CAL_MUS,"Vachini, Dante",Undefined,0
Undefined,,,,CAL_MUS,"Daudet, Zach",Strikeout,0
Single,103.8087,-5.229248,-0.846123,CAL_MUS,"Fenn, Ryan",Undefined,1
Undefined,,,,CAL_MUS,"Garza, Alejandro",Strikeout,0
Undefined,,,,CAL_MUS,"Collins, Jack",Strikeout,0
Out,63.81638,76.771134,0.212534,CAL_MUS,"Murray, Casey",Undefined,0
Out,64.39858,-58.349525,28.371965,CAL_MUS,"Hoiland, Cameron",Undefined,0
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Single,89.65236,12.285234,26.072136,CAL_MUS,"Kordic, Dylan",Undefined,1
Out,99.4074,13.656146,4.534395,CAL_MUS,"Vachini, Dante",Undefined,0
FieldersChoice,84.9594,-35.311081,-11.646559,CAL_MUS,"Daudet, Zach",Undefined,0
Out,95.34398,20.102908,-12.150182,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,102.93981,3.333241,12.265077,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,93.92705,-17.204935,-9.010101,CAL_MUS,"Murray, Casey",Undefined,0
Out,87.05968,23.612574,-0.024001,CAL_MUS,"Hoiland, Cameron",Undefined,0
Out,90.95861,-7.169901,-12.414768,CAL_MUS,"Castellon, Nate",Undefined,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Single,93.83979,-10.360718,-32.455173,CAL_MUS,"Daudet, Zach",Undefined,1
Single,94.19697,7.123624,-4.046367,CAL_MUS,"Fenn, Ryan",Undefined,1
Out,89.98296,-14.728443,-25.052764,CAL_MUS,"Collins, Jack",Undefined,0
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Single,94.21514,12.519636,1.375963,CAL_MUS,"Castellon, Nate",Undefined,1
Undefined,,,,CAL_MUS,"Downing, Jake",Strikeout,0
Out,,,,CAL_MUS,"Fenn, Ryan",Undefined,0
Single,86.16304,-5.574107,-42.350203,CAL_MUS,"Garza, Alejandro",Undefined,1
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Out,,,,CAL_MUS,"Hoiland, Cameron",Undefined,0
Single,95.34345,-7.656824,-3.252477,CAL_MUS,"Castellon, Nate",Undefined,1
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Out,57.18935,-58.846653,-16.334077,CAL_MUS,"Downing, Jake",Undefined,0
Undefined,,,,CAL_MUS,"Daudet, Zach",Strikeout,0
Out,74.22221,-7.511074,-14.607011,CAL_MUS,"Fenn, Ryan",Undefined,0
HomeRun,100.71549,28.459354,-17.481539,CAL_MUS,"Garza, Alejandro",Undefined,1
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Triple,100.84862,1.636662,39.920251,CAL_MUS,"Hoiland, Cameron",Undefined,1
Out,105.59801,-0.806227,20.352482,CAL_MUS,"Kordic, Dylan",Undefined,0
Out,58.96722,-63.171503,125.783461,CAL_MUS,"Vachini, Dante",Undefined,0
Out,36.36008,-54.465014,-1.280965,CAL_MUS,"Daudet, Zach",Undefined,0
Single,69.29581,36.120202,29.940324,CAL_MUS,"Fenn, Ryan",Undefined,1
Undefined,,,,CAL_MUS,"Garza, Alejandro",Strikeout,0
Single,73.48287,5.313169,-27.93699,CAL_MUS,"Collins, Jack",Undefined,1
Out,28.83052,54.789321,35.640084,CAL_MUS,"Murray, Casey",Undefined,0
Single,95.51324,2.839149,-7.897469,CAL_MUS,"Castellon, Nate",Undefined,1
Out,80.6166,53.875458,-30.027433,CAL_MUS,"Kordic, Dylan",Undefined,0
Single,,,,CAL_MUS,"Vachini, Dante",Undefined,1
Double,91.15127,22.254063,29.645789,CAL_MUS,"Fenn, Ryan",Undefined,1
Out,88.23549,51.396244,22.392808,CAL_MUS,"Collins, Jack",Undefined,0
Out,103.23995,13.504859,10.709743,CAL_MUS,"Murray, Casey",Undefined,0
Undefined,,,,CAL_MUS,"Hoiland, Cameron",Strikeout,0
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Out,97.68745,24.024536,8.450511,CAL_MUS,"Vachini, Dante",Undefined,0
Undefined,,,,CAL_MUS,"Thomas, Braxton",Strikeout,0
Undefined,,,,CAL_MUS,"Castellon, Nate",Strikeout,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Out,65.95063,-7.690791,37.827809,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,74.18097,-45.11859,27.500698,CAL_MUS,"Garza, Alejandro",Undefined,0
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Out,77.13165,-30.616264,31.637519,CAL_MUS,"Thomas, Braxton",Undefined,0
Out,89.41054,20.051004,9.131554,CAL_MUS,"Murray, Casey",Undefined,0
Error,86.17724,6.592193,8.769808,CAL_MUS,"Castellon, Nate",Undefined,0
Double,99.82002,21.19422,9.241841,CAL_MUS,"Collins, Jack",Undefined,1
Double,102.00505,18.845816,-20.598679,CAL_MUS,"Fenn, Ryan",Undefined,1
Undefined,,,,CAL_MUS,"Garza, Alejandro",Strikeout,0
Undefined,,,,CAL_MUS,"Thomas, Braxton",Strikeout,0
Out,102.34396,41.572925,10.704717,CAL_MUS,"Murray, Casey",Undefined,0
Out,89.1173,26.542626,-11.505902,CAL_MUS,"Vachini, Dante",Undefined,0
Out,82.9302,41.470568,21.907068,CAL_MUS,"Castellon, Nate",Undefined,0
Out,101.08734,47.040039,-2.744343,CAL_MUS,"Collins, Jack",Undefined,0
Out,88.66184,55.75524,26.270624,CAL_MUS,"Daudet, Zach",Undefined,0
Out,74.20632,34.237755,-12.113556,CAL_MUS,"Fenn, Ryan",Undefined,0
Out,68.37733,-63.189119,-8.709454,CAL_MUS,"Garza, Alejandro",Undefined,0
Out,96.50574,59.425125,-8.037877,CAL_MUS,"Kordic, Dylan",Undefined,0
Single,94.1714,12.441802,-3.579603,CAL_MUS,"Thomas, Braxton",Undefined,1
Out,68.14331,-69.890513,75.72569,CAL_MUS,"Murray, Casey",Undefined,0
Out,67.50456,-40.970642,-12.427566,CAL_MUS,"Collins, Jack",Undefined,0
Undefined,,,,CAL_MUS,"Fenn, Ryan",Strikeout,0
Out,90.20729,42.942321,17.78957,CAL_MUS,"Garza, Alejandro",Undefined,0
Undefined,,,,CAL_MUS,"Murray, Casey",Strikeout,0
Undefined,,,,CAL_MUS,"Vachini, Dante",Strikeout,0
Single,84.08457,0.40029,-29.251722,CAL_MUS,"Collins, Jack",Undefined,1
Undefined,,,,CAL_MUS,"King, Wyatt",Strikeout,0
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Undefined,,,,CAL_MUS,"Kordic, Dylan",Strikeout,0
Undefined,,,,CAL_MUS,"Van der Wel, Vincent",Strikeout,0
